id,season,date,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_the_match,venue,umpire1,umpire2,umpire3
75,2017,6/30/2017,,Sri Lanka,Zimbabwe,Sri Lanka,bat,Normal,0,Sri Lanka,0,6,SF Mire,Galle International Stadium,IJ Gould,RSA Palliyaguruge,
76,2017,7/6/2017,Jamaica,India,West Indies,West Indies,bat,Normal,0,India,0,8,V Kohli,"Sabina Park, Kingston",HDPK Dharmasena,LS Reifer,
77,2017,7/2/2017,Antigua,India,West Indies,West Indies,bat,Normal,0,West Indies,12,0,JO Holder,"Sir Vivian Richards Stadium, North Sound",CB Gaffaney,JS wilson,
78,2017,6/30/2017,Antigua,India,West Indies,West Indies,field,Normal,0,India,93,0,MS Dhoni,"Sir Vivian Richards Stadium, North Sound",HDPK Dharmasena,LS Reifer,
79,2017,6/25/2017,Trinidad,India,West Indies,West Indies,field,Normal,0,India,106,0,AM Rahane,"Queen's Park Oval, Port of Spain",N Duguid,CB Gaffaney,
80,2017,6/23/2017,Trinidad,India,West Indies,West Indies,field,Draw,0,,,,,"Queen's Park Oval, Port of Spain",HDPK Dharmasena,JS wilson,
81,2017,6/11/2017,St Lucia,West Indies,Afghanistan,Afghanistan,bat,Normal,0,West Indies,0,4,SD Hope,"Darren Sammy National Cricket Stadium, Gros Islet",N Duguid,C Shamshuddin,
82,2017,6/10/2017,St Lucia,West Indies,Afghanistan,Afghanistan,bat,Normal,0,Afghanistan,63,0,Rashid Khan,"Darren Sammy National Cricket Stadium, Gros Islet",C Shamshuddin,JS wilson,
83,2017,5/21/2017,Potchefstroom,South Africa,India,India,field,Normal,0,India,0,8,PG Raut,Senwes Park,AT Holdstock,BP Jele,
84,2017,5/19/2017,Potchefstroom,South Africa,Ireland,South Africa,bat,Normal,0,South Africa,120,0,A Steyn,North-West University No1 Ground,AT Holdstock, Jacobs,
85,2017,5/17/2017,Potchefstroom,South Africa,India,India,field,Normal,0,South Africa,8,0,CL Tryon,Senwes Park,BP Jele,TC Mokorosi,
86,2017,5/11/2017,Potchefstroom,South Africa,Ireland,South Africa,bat,Normal,0,South Africa,178,0,L Wolvaardt,Senwes Park,AT Holdstock,TC Mokorosi,
87,2017,5/9/2017,Potchefstroom,South Africa,India,India,field,Normal,0,India,0,7,S Pandey,North-West University No1 Ground,AT Holdstock,A Jacobs,
88,2017,5/7/2017,Potchefstroom,India,Ireland,India,field,Normal,0,India,0,10,DB Sharma, North-West University No1 Ground,AT Holdstock,A Jacobs,
89,2017,6/17/2017,Edinburgh,Ireland,Scotland,Scotland,bat,Normal,0,Zimbabwe,0,6,,"Grange Cricket Club Ground, Raeburn Place",RSA Palliyaguruge,IN Ramage,
90,2017,6/15/2017,Edinburgh,Zimbabwe,Scotland,Scotland,bat,D/L,1,Scotland,26,0,,"Grange Cricket Club Ground, Raeburn Place",RSA Palliyaguruge,IN Ramage,
91,2017,7/15/2017,Leicester,Pakistan,Sri Lanka,Sri Lanka,bat,Normal,0,Sri Lanka,15,0,HHC Gunaratne,Grace Road,K Cross,S Redfern,
92,2017,4/1/2017,Colombo,Sri Lanka,Bangladesh,Bangladesh,field,Normal,0,Sri Lanka,70,0,NLTC Perera,Sinhalese Sports Club Ground,MA Gough,RSA Palliyaguruge,
93,2017,3/28/2017,Colombo,Sri Lanka,Bangladesh,Sri Lanka,bat,Normal,0,,,,,Rangiri Dambulla International Stadium,RSA Palliyaguruge,S Ravi,
94,2017,3/25/2017,Colombo,Sri Lanka,Bangladesh,Sri Lanka,field,Normal,0,Bangladesh,90,0,Tamim Iqbal,Rangiri Dambulla International Stadium,MA Gough,REJ Martinesz,
95,2017,3/4/2017,Dubai,United Arab Emirates,Ireland,United Arab Emirates,bat,Normal,0,Ireland,0,8,WTS Porterfield,ICC Global Cricket Academy,Ahsan Raza,Akbar Ali,
96,2017,3/2/2017,Dubai,United Arab Emirates,Ireland,United Arab Emirates,field,Normal,0,Ireland,85,0,WTS Porterfield,ICC Global Cricket Academy,Ahsan Raza,Iftikhar Ali,
97,2017,2/26/2017,Harare,Zimbabwe,Afghanistan,Afghanistan,bat,D/L,1,Afghanistan,106,0,Rahmat Shah,Harare Sports Club,S George,TJ Matibiri,
98,2017,2/24/2017,Harare,Zimbabwe,Afghanistan,Afghanistan,bat,D/L,1,Zimbabwe,0,7,CB Mpofu,Harare Sports Club,S George,TJ Matibiri,
99,2017,2/21/2017,Harare,Zimbabwe,Afghanistan,Zimbabwe,bat,Normal,0,Zimbabwe,0,3,TL Chatara,Harare Sports Club,S George,L Rusere,
